Outcome 25 Result 25b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
70 patients in Cohort 1 and 57 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
0,1,,,1,,
1,1,,,1,,
2,1,,,1,,
3,1,,,1,,
4,1,,,1,,
5,1,,,1,,
6,1,,,1,,
7,1,,,1,,
8,1,,,1,,
9,1,,,1,,
10,1,,,1,,
11,1,,,1,,
12,1,,,1,,
13,1,,,1,,
14,1,,,1,,
15,1,,,1,,
16,1,,,1,,
17,1,,,1,,
18,1,,,1,,
19,1,,,,,
20,1,,,1,,
21,1,,,1,,
22,1,,,1,,
23,1,,,1,,
24,1,,,1,,
25,1,,,1,,
26,,,,0.9997183891861449,0.9980025407515969,0.9999603265174425
27,,,,0.9997183891861449,0.9980025407515969,0.9999603265174425
28,,,,0.9997183891861449,0.9980025407515969,0.9999603265174425
29,1,,,0.9997183891861449,0.9980025407515969,0.9999603265174425
30,1,,,0.9997183891861449,0.9980025407515969,0.9999603265174425
31,1,,,0.9997183891861449,0.9980025407515969,0.9999603265174425
32,1,,,0.9994350222957872,0.9977428678161414,0.9998586714940826
33,1,,,0.9994350222957872,0.9977428678161414,0.9998586714940826
34,1,,,0.9994350222957872,0.9977428678161414,0.9998586714940826
35,1,,,0.9991510112067584,0.9973699763507368,0.9997261063952932
36,1,,,0.9991510112067584,0.9973699763507368,0.9997261063952932
37,,,,0.9991510112067584,0.9973699763507368,0.9997261063952932
38,,,,0.9991510112067584,0.9973699763507368,0.9997261063952932
39,1,,,0.9991510112067584,0.9973699763507368,0.9997261063952932
40,1,,,,,
41,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
42,1,,,,,
43,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
44,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
45,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
46,,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
47,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
48,,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
49,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
50,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
51,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
52,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
53,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
54,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
55,,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
56,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
57,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
58,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
59,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
60,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
61,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
62,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
63,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
64,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
65,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
66,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
67,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
68,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
69,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
70,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
71,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
72,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
73,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
74,1,,,0.9988658653702266,0.9969810192680385,0.9995741930023806
75,0.9997163925127621,0.9979883906388238,0.9999600451907512,0.9985716486204859,0.9965714025898853,0.999405297762073
76,0.9997163925127621,0.9979883906388238,0.9999600451907512,0.9985716486204859,0.9965714025898853,0.999405297762073
77,0.9997163925127621,0.9979883906388238,0.9999600451907512,0.9985716486204859,0.9965714025898853,0.999405297762073
78,0.9997163925127621,0.9979883906388238,0.9999600451907512,0.9985716486204859,0.9965714025898853,0.999405297762073
79,,,,0.9985716486204859,0.9965714025898853,0.999405297762073
80,0.9994323014662974,0.9977320221577491,0.9998579897950167,,,
81,0.9994323014662974,0.9977320221577491,0.9998579897950167,0.9985716486204859,0.9965714025898853,0.999405297762073
82,0.9994323014662974,0.9977320221577491,0.9998579897950167,,,
83,,,,0.9985716486204859,0.9965714025898853,0.999405297762073
84,0.9994323014662974,0.9977320221577491,0.9998579897950167,0.9985716486204859,0.9965714025898853,0.999405297762073
85,,,,0.9985716486204859,0.9965714025898853,0.999405297762073
86,0.9994323014662974,0.9977320221577491,0.9998579897950167,0.9985716486204859,0.9965714025898853,0.999405297762073
87,0.9994323014662974,0.9977320221577491,0.9998579897950167,0.9985716486204859,0.9965714025898853,0.999405297762073
88,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
89,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
90,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
91,,,,0.9985716486204859,0.9965714025898853,0.999405297762073
92,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
93,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
94,,,,0.9985716486204859,0.9965714025898853,0.999405297762073
95,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
96,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
97,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
98,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
99,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
100,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
101,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
102,0.9991469939294815,0.9973575530844568,0.9997248089133056,,,
103,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
104,,,,0.9985716486204859,0.9965714025898853,0.999405297762073
105,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
106,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
107,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
108,,,,0.9985716486204859,0.9965714025898853,0.999405297762073
109,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
110,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
111,0.9991469939294815,0.9973575530844568,0.9997248089133056,,,
112,,,,0.9985716486204859,0.9965714025898853,0.999405297762073
113,0.9991469939294815,0.9973575530844568,0.9997248089133056,,,
114,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
115,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
116,0.9991469939294815,0.9973575530844568,0.9997248089133056,,,
117,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
118,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
119,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
120,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
121,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
122,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
123,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
124,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
125,,,,0.9985716486204859,0.9965714025898853,0.999405297762073
126,,,,0.9985716486204859,0.9965714025898853,0.999405297762073
127,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
128,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
129,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
130,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
131,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9985716486204859,0.9965714025898853,0.999405297762073
132,,,,0.9985716486204859,0.9965714025898853,0.999405297762073
133,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9982640171822176,0.9961384459660457,0.9992200371775385
134,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9982640171822176,0.9961384459660457,0.9992200371775385
135,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9982640171822176,0.9961384459660457,0.9992200371775385
136,,,,0.9982640171822176,0.9961384459660457,0.9992200371775385
137,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9982640171822176,0.9961384459660457,0.9992200371775385
138,,,,0.9982640171822176,0.9961384459660457,0.9992200371775385
139,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9982640171822176,0.9961384459660457,0.9992200371775385
140,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9982640171822176,0.9961384459660457,0.9992200371775385
141,0.9991469939294815,0.9973575530844568,0.9997248089133056,,,
142,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9982640171822176,0.9961384459660457,0.9992200371775385
144,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9982640171822176,0.9961384459660457,0.9992200371775385
145,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9982640171822176,0.9961384459660457,0.9992200371775385
146,,,,0.9982640171822176,0.9961384459660457,0.9992200371775385
148,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9982640171822176,0.9961384459660457,0.9992200371775385
149,0.9991469939294815,0.9973575530844568,0.9997248089133056,,,
150,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9982640171822176,0.9961384459660457,0.9992200371775385
151,,,,0.9982640171822176,0.9961384459660457,0.9992200371775385
152,,,,0.9982640171822176,0.9961384459660457,0.9992200371775385
153,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9982640171822176,0.9961384459660457,0.9992200371775385
154,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9982640171822176,0.9961384459660457,0.9992200371775385
155,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9982640171822176,0.9961384459660457,0.9992200371775385
156,0.9991469939294815,0.9973575530844568,0.9997248089133056,0.9982640171822176,0.9961384459660457,0.9992200371775385
157,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9982640171822176,0.9961384459660457,0.9992200371775385
158,,,,0.9982640171822176,0.9961384459660457,0.9992200371775385
159,,,,0.9982640171822176,0.9961384459660457,0.9992200371775385
160,,,,0.9982640171822176,0.9961384459660457,0.9992200371775385
161,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9982640171822176,0.9961384459660457,0.9992200371775385
162,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9982640171822176,0.9961384459660457,0.9992200371775385
163,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9982640171822176,0.9961384459660457,0.9992200371775385
164,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9982640171822176,0.9961384459660457,0.9992200371775385
165,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9982640171822176,0.9961384459660457,0.9992200371775385
166,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9982640171822176,0.9961384459660457,0.9992200371775385
167,,,,0.9976337999996538,0.9952705283556256,0.9988168689428841
168,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9976337999996538,0.9952705283556256,0.9988168689428841
169,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9976337999996538,0.9952705283556256,0.9988168689428841
170,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9976337999996538,0.9952705283556256,0.9988168689428841
171,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9976337999996538,0.9952705283556256,0.9988168689428841
172,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9976337999996538,0.9952705283556256,0.9988168689428841
173,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9976337999996538,0.9952705283556256,0.9988168689428841
174,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9976337999996538,0.9952705283556256,0.9988168689428841
175,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9973166881751145,0.9948451767679559,0.9986040492583148
176,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9973166881751145,0.9948451767679559,0.9986040492583148
177,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9973166881751145,0.9948451767679559,0.9986040492583148
178,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9973166881751145,0.9948451767679559,0.9986040492583148
179,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9973166881751145,0.9948451767679559,0.9986040492583148
180,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9973166881751145,0.9948451767679559,0.9986040492583148
181,,,,0.9969983617505469,0.9944240276274225,0.9983851328984624
182,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9969983617505469,0.9944240276274225,0.9983851328984624
183,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9969983617505469,0.9944240276274225,0.9983851328984624
184,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9969983617505469,0.9944240276274225,0.9983851328984624
185,0.9988511257050425,0.996941381893615,0.9995687190533805,0.9969983617505469,0.9944240276274225,0.9983851328984624
186,,,,0.9969983617505469,0.9944240276274225,0.9983851328984624
187,,,,0.9969983617505469,0.9944240276274225,0.9983851328984624
188,0.9985507193514473,0.9965206980557733,0.9993966698910741,0.9969983617505469,0.9944240276274225,0.9983851328984624
189,0.9985507193514473,0.9965206980557733,0.9993966698910741,0.9969983617505469,0.9944240276274225,0.9983851328984624
190,0.9985507193514473,0.9965206980557733,0.9993966698910741,0.9969983617505469,0.9944240276274225,0.9983851328984624
191,,,,0.9969983617505469,0.9944240276274225,0.9983851328984624
192,,,,0.9969983617505469,0.9944240276274225,0.9983851328984624
193,0.9985507193514473,0.9965206980557733,0.9993966698910741,,,
194,0.9985507193514473,0.9965206980557733,0.9993966698910741,0.9969983617505469,0.9944240276274225,0.9983851328984624
195,0.9985507193514473,0.9965206980557733,0.9993966698910741,0.9969983617505469,0.9944240276274225,0.9983851328984624
196,,,,0.9969983617505469,0.9944240276274225,0.9983851328984624
197,0.9985507193514473,0.9965206980557733,0.9993966698910741,0.9969983617505469,0.9944240276274225,0.9983851328984624
198,0.9985507193514473,0.9965206980557733,0.9993966698910741,0.9969983617505469,0.9944240276274225,0.9983851328984624
199,0.9985507193514473,0.9965206980557733,0.9993966698910741,,,
201,0.9985507193514473,0.9965206980557733,0.9993966698910741,0.9969983617505469,0.9944240276274225,0.9983851328984624
202,0.9985507193514473,0.9965206980557733,0.9993966698910741,0.9969983617505469,0.9944240276274225,0.9983851328984624
203,0.9985507193514473,0.9965206980557733,0.9993966698910741,0.9969983617505469,0.9944240276274225,0.9983851328984624
204,0.9985507193514473,0.9965206980557733,0.9993966698910741,0.9969983617505469,0.9944240276274225,0.9983851328984624
205,0.9985507193514473,0.9965206980557733,0.9993966698910741,0.9969983617505469,0.9944240276274225,0.9983851328984624
206,,,,0.9969983617505469,0.9944240276274225,0.9983851328984624
207,0.9985507193514473,0.9965206980557733,0.9993966698910741,0.9969983617505469,0.9944240276274225,0.9983851328984624
208,,,,0.9969983617505469,0.9944240276274225,0.9983851328984624
209,0.9985507193514473,0.9965206980557733,0.9993966698910741,0.9969983617505469,0.9944240276274225,0.9983851328984624
210,0.9985507193514473,0.9965206980557733,0.9993966698910741,0.9969983617505469,0.9944240276274225,0.9983851328984624
