Outcome 27 Result 27b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
13 patients in Cohort 1 and 12 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
0,1,,,1,,
1,1,,,1,,
2,1,,,1,,
3,1,,,1,,
4,1,,,1,,
5,1,,,1,,
6,1,,,1,,
7,0.9997316156736445,0.9980962791578548,0.999962190086948,1,,
8,0.9997316156736445,0.9980962791578548,0.999962190086948,1,,
9,0.9997316156736445,0.9980962791578548,0.999962190086948,1,,
10,0.9997316156736445,0.9980962791578548,0.999962190086948,1,,
11,0.9997316156736445,0.9980962791578548,0.999962190086948,1,,
12,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
13,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
14,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
15,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
16,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
17,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
18,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
19,0.9994622188491561,0.9978514423148989,0.9998654754471924,,,
20,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
21,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
22,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
23,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
24,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
25,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
26,,,,1,,
27,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
28,,,,1,,
29,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
30,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
31,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
32,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
33,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
34,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
35,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
36,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
37,,,,1,,
38,,,,1,,
39,0.9994622188491561,0.9978514423148989,0.9998654754471924,1,,
40,0.9991885435427902,0.9974860594567551,0.9997382271195209,,,
41,0.9991885435427902,0.9974860594567551,0.9997382271195209,1,,
42,0.9991885435427902,0.9974860594567551,0.9997382271195209,,,
43,0.9991885435427902,0.9974860594567551,0.9997382271195209,1,,
44,0.9991885435427902,0.9974860594567551,0.9997382271195209,1,,
45,0.9991885435427902,0.9974860594567551,0.9997382271195209,1,,
46,,,,1,,
47,0.9991885435427902,0.9974860594567551,0.9997382271195209,1,,
48,,,,1,,
49,0.9991885435427902,0.9974860594567551,0.9997382271195209,1,,
50,0.9991885435427902,0.9974860594567551,0.9997382271195209,1,,
51,0.9991885435427902,0.9974860594567551,0.9997382271195209,1,,
52,0.9991885435427902,0.9974860594567551,0.9997382271195209,1,,
53,0.9991885435427902,0.9974860594567551,0.9997382271195209,1,,
54,0.9991885435427902,0.9974860594567551,0.9997382271195209,1,,
55,,,,1,,
56,0.9991885435427902,0.9974860594567551,0.9997382271195209,1,,
57,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
58,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
59,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
60,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
61,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
62,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
63,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
64,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
65,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
66,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
67,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
68,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
69,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
70,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
71,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
72,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
73,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
74,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
75,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
76,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
77,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
78,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
79,,,,1,,
80,0.9989122192774295,0.9971041229890713,0.9995916270659739,,,
81,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
82,0.9989122192774295,0.9971041229890713,0.9995916270659739,,,
83,,,,1,,
84,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
85,,,,1,,
86,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
87,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
88,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
89,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
90,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
91,,,,1,,
92,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
93,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
94,,,,1,,
95,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
96,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
97,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
98,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
99,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
100,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
101,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
102,0.9989122192774295,0.9971041229890713,0.9995916270659739,,,
103,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
104,,,,1,,
105,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
106,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
107,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
108,,,,1,,
109,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
110,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
111,0.9989122192774295,0.9971041229890713,0.9995916270659739,,,
112,,,,1,,
113,0.9989122192774295,0.9971041229890713,0.9995916270659739,,,
114,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
115,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
116,0.9989122192774295,0.9971041229890713,0.9995916270659739,,,
117,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
118,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
119,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
120,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
121,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
122,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
123,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
124,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
125,,,,1,,
126,,,,1,,
127,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
128,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
129,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
130,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
131,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
132,,,,1,,
133,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
134,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
135,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
136,,,,1,,
137,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
138,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
139,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
140,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
141,0.9989122192774295,0.9971041229890713,0.9995916270659739,,,
142,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
144,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
145,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
146,,,,1,,
148,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
149,0.9989122192774295,0.9971041229890713,0.9995916270659739,,,
150,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
151,,,,1,,
152,,,,1,,
153,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
154,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
155,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
156,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
157,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
158,,,,1,,
159,,,,1,,
160,,,,1,,
161,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
162,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
163,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
164,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
165,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
166,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
168,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
169,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
170,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
171,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
172,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
173,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
174,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
175,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
176,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
177,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
178,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
179,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
180,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
181,,,,1,,
182,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
183,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
184,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
185,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
186,,,,1,,
187,,,,1,,
188,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
189,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
190,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
191,,,,1,,
192,,,,1,,
193,0.9989122192774295,0.9971041229890713,0.9995916270659739,,,
194,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
195,0.9989122192774295,0.9971041229890713,0.9995916270659739,1,,
196,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
197,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
198,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
199,0.998615806155983,0.9966756479853379,0.9994239763310674,,,
201,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
202,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
203,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
204,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
205,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
206,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
207,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
208,,,,1,,
209,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
210,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
211,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
212,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
213,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
214,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
215,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
216,,,,1,,
217,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
218,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
219,,,,1,,
220,,,,1,,
222,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
223,0.998615806155983,0.9966756479853379,0.9994239763310674,,,
224,,,,1,,
225,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
226,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
227,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
228,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
229,,,,1,,
230,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
231,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
232,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
233,,,,1,,
234,,,,1,,
235,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
236,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
237,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
238,0.998615806155983,0.9966756479853379,0.9994239763310674,,,
239,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
240,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
241,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
242,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
243,,,,1,,
244,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
245,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
246,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
247,,,,1,,
248,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
249,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
250,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
251,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
252,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
253,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
254,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
255,0.998615806155983,0.9966756479853379,0.9994239763310674,1,,
256,,,,1,,
257,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
258,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
259,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
260,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
261,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
262,0.998615806155983,0.9966756479853379,0.9994239763310674,,,
263,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
264,,,,0.99966521593572,0.9976257690409825,0.9999528343639252
265,,,,0.99966521593572,0.9976257690409825,0.9999528343639252
266,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
267,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
268,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
269,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
270,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
271,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
272,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
273,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
274,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
275,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
276,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
277,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
278,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
279,0.998615806155983,0.9966756479853379,0.9994239763310674,0.99966521593572,0.9976257690409825,0.9999528343639252
